X,Y,osm_id,osm_type,completeness,#meta +operator,#meta +health_amenity_type,#meta+dispensing,#meta +speciality,#meta+is_in_health_zone,#capacity +staff,#loc+amenity,changeset_id,#access +hours,changeset_timestamp,#meta+emergency,#contact +url,#meta +operator_type,#meta +id,#meta+water_source,changeset_version,addr_street,#meta+electricity,#contact +phone,#meta+insurance,#status+operational_status,#meta+is_in_health_area,addr_postcode,addr_city,#meta+wheelchair,#capacity +beds,changeset_user,#geo+bounds+url,addr_housenumber,#meta+healthcare,#loc +name,tag
35.8506900580695,31.9589499511063,6489446082,node,9,,,,,,,pharmacy,70493842,,2019/05/21 21:43:48,,,,683e68c0d58c47b99c8ad9ab0856ecff,,1,Abdulrahman Khaleefah Street,,,,,,,,,,richardninde,,,,,
35.8583476809898,31.9811129603826,6438996349,node,9,,,,,,,pharmacy,69738770,,2019/04/30 15:14:10,,,,f5d96c1f3a104e5dba78f7a996b8ccdc,,1,Princess Zeinab Bent Al-Hussein Street,,,,,,,,,,birdeatscake,,,,,
35.851217028322,31.9791916605371,6429352160,node,9,,,,,,,pharmacy,69582028,,2019/04/25 22:25:26,,,,d0c723d55b154e238b809fdbf96ae8eb,,1,Princess Zein Bint Al-Hussein Street,,,,,,,,,,birdeatscake,,,,,
35.9576556315993,31.969899482679,3168484823,node,15,,,,,,,clinic,70456266,,2019/05/20 21:08:40,,,,9d6d3205cb8b4e6f9e80dc58227d3c1a,,2,Salti al Ebrahimi St,,,,,,,Amman,,,spuddy93,,,,Jordan Red Crescent Psychosocial centre,
35.9361746577842,31.930458437296,7564345600,node,9,,,,,,,,85857068,,2020/05/28 01:03:43,,,,9df80262ef674cfe97fb266e93a5c01f,,1,,,,,,,,,,,S-M-R,,,optometrist,عبود للبصريات,
35.8472379712475,31.9805766862175,6426665979,node,9,,,,,,,dentist,69540076,,2019/04/24 20:06:42,,,,6f17a5e09ea5478f8d12f71a35c45c41,,1,Princess Zein Bint Al-Hussein Street,,,,,,,,,,birdeatscake,,,,,
35.8870848683821,31.9984522682015,6465209958,node,15,,,,,,,pharmacy,70117366,,2019/05/10 16:52:33,,,,1c24aae400c0473e9efaa902ecf1f8e0,,1,شارع الوفاق,,,,,,,,,,richardninde,,38,,Yara Pharmacy,
36.0876277691407,32.0626924314088,4139592438,node,12,,,,,,,pharmacy,40449283,,2016/07/02 23:02:45,,,,447cc35bc1014155a97df53fbb916d7c,,2,باب الواد,,,,,,,الزرقاء,,,Big_Borz,,,,,
35.8514898592703,32.5392717716959,7287554671,node,12,,,,,,,clinic,82102634,,2020/03/12 08:59:41,,,,c4b3504d323c440882fedbcf69d1da4c,,3,,,,,,,,,,,Ghida'a Mahasees,,,clinic,اطباء بلا حدود,
35.8625989822794,32.5335899309916,7327173386,node,28,private,"emergency_department;imaging_equipment;intensive_care_unit;laboratory;operating_theater;ultrasound;x_ray",,,,,hospital,82594893,24/7,2020/03/25 02:49:52,,,,8a5d03a8da774b2dbe58e86390dbc6a5,,1,,,07 9565 6952,"private;public",,,,,,,rnjawarneh,,,"birthing_center;clinic;hospital;laboratory;pharmacy",Irbid Specialty Hospital,
,,261427337,way,15,IRC / JHAS,,,,,,hospital,79018367,,2019/12/30 14:49:21,,,,37b9911fb94d422fa1f93e6f2efa0aec,,4,,,,,,,,,,,ManonVi,REACH,,,Women's Centre,
,,261427346,way,15,Qatari Red Crescent,,,,,,hospital,79018367,,2019/12/30 14:49:21,,,,1c85ced718924e6ba0c86595444221f5,,4,,,,,,,,,,,ManonVi,REACH,,,Qatari Red Crescent Psycho-Social Support,
,,768746279,way,12,,,,,,,clinic,80406769,,2020/02/01 11:31:07,,,,fb05826003da47218f73b6ec5d2cfb2d,,1,,,,,,,,,,,MohHizzani,,,clinic,Al Baratwi Clinics,
,,654147732,way,12,,,,,,,pharmacy,70028156,,2019/05/08 13:28:09,,,,037b65395e9e48c0bc31010e689db742,,2,Haroon Al-Rasheed Street,,,,,,,,,,chancethewrapper,,129,,,
,,509600059,way,12,,,,,,,pharmacy,70286235,,2019/05/15 17:23:47,,,,856c4f35f4364f1ba21e2029c0e7fd7b,,2,شارع الكلية العلمية الإسلامية,,,,,,,,,,CoolGuyJake,,38,,,
,,234088422,way,15,,,,,,,clinic,85619757,,2020/05/22 15:20:14,,,,59c1e6517cb248dfb2950c80e73c6258,,3,Sa'd Bin Abi Waqqas Street,,,,,,,,,,S-M-R,,10,,King Hussein Cancer Foundation,
35.8724292783213,31.9472986866,6491359762,node,12,,,,,,,pharmacy,70519359,,2019/05/22 15:18:28,,,,9128e098bb7a46bda34f047c4584959f,,1,Ali Seedo Al-Kurdi Street,,,,,,,,,,Gr8fulDead,,,,Pharmacy One,
,,261427348,way,15,MDM,,,,,,hospital,79018367,,2019/12/30 14:49:21,,,,328fe59d533e46c5afa9b584651200bf,,5,,,,,,,,,,,ManonVi,REACH,,,MDM Primary Health Care Centre 2,
35.9321041541461,31.9072964727995,6412459356,node,12,,,,,,,pharmacy,84716702,,2020/05/05 20:24:12,,,,497a70f9022d40f78b16b45478201034,,2,Al Sakhrah Al Musharrafah Street,,,,,,,,,,S-M-R,,,,Al-Weqaya Pharmacy,
35.8698619851983,31.9654654559002,4406061291,node,12,,,,,,,pharmacy,43168687,,2016/10/25 17:59:33,,,,52a7f7d63bde49cd898ecfb1cfc9221f,,2,Al Dammam Street,,,,,,,,,,Saad Bataineh,,,,صيدلية البواسل,
35.9363678606524,31.929724182578,7476943780,node,9,,,,,,,pharmacy,84578617,,2020/05/03 19:37:54,,,,cf8806d31919485d91b4228cdcab1d6d,,1,,,,,,,,,,,S-M-R,,,,صديلية البراق,
36.0760808593288,32.0599078793555,4139592440,node,12,,,,,,,pharmacy,40430835,,2016/07/02 01:29:30,,,,95ef7b91d9434e4f8ee284da6268e3fb,,2,بهاء الدين عبد الله,,,,,,,الزرقاء,,,Big_Borz,,,,,
35.8181698663179,31.9925908871313,2840976592,node,6,,,,,,,pharmacy,39562771,,2016/05/25 18:16:24,,,,8341294553e54898b9269a150265261f,,3,,,,,,,,,,,Jamal H,,,,,
35.7254138817811,31.1471651433224,5913248686,node,6,,,,,,,hospital,62686774,,2018/09/18 07:26:21,,,,1c9c8fbf579540ba94cd49aac8c51b79,,1,,,,,,,,,,,Ирина Сидоренко,,,,,
,,261427392,way,18,IMC - International Medical Corps,,,,,,hospital,79018367,,2019/12/30 14:49:21,no,,,d33b1b6eb767420aba1e8cab67f1d488,,6,,,,,,,,,,,ManonVi,Wasef Abdulhadi,,,Psychological Disorders Centre,
35.7709675976914,32.4326351878657,5606667147,node,25,مركز,,,,,,hospital,58812823,,2018/05/09 09:12:23,,,,2eda0de8232948d2804413f0a70b008a,,1,الشارع الئيسي _بجانب بلدية زوبيا,,,,,,,اربد,,,Omar Ghawanmeh,,زوبيا,hospital,مركز صحي زوبيا,
35.8527966817941,32.5312312634386,7282321895,node,9,,,,,,,pharmacy,82008114,,2020/03/10 12:38:37,,,,68a9baa0dbe1472e936bbd4dfa3a7089,,1,,,,,,,,,,,dina_frihat,,,,دواكم,
35.0107610825428,29.5247531524019,4617640790,node,18,,,,,,,pharmacy,66598316,Mo-Su 09:00-23:00,2019/01/24 11:26:19,,,,e087b00736944becbf11f1675f180e15,,2,almanarah street,,,,,,,,,,t_pienn,,00962780633333,,صيدلية دواكم,
36.0937620649782,32.0538246293083,4139592464,node,12,,,,,,,hospital,38770751,,2016/04/21 23:10:06,,,,9a4140fe2e1d4266a170c7a8e977f40b,,1,,,,,,,,الزرقاء,,,Big_Borz,,,,مستشفى الحكمة,
35.9112757953122,31.9539523251582,2466449354,node,15,,,,,,,pharmacy,79650347,,2020/01/16 12:32:42,,,,73b7b6df3b4d45758523ff3b2492d3e4,,4,,,,,,,,,,,Alan Orth,,2,pharmacy,صيدلية يعقوب,
,,689686560,way,15,,,,,,,pharmacy,70488665,,2019/05/21 18:08:46,,,,9edc98c48ddf4523b2562719c3cbffa5,,2,شارع الشهيد,,,,,,,,,,CoolGuyJake,,364,,Drug Center Pharmacy,
35.7874220279923,32.6047431526603,7426290885,node,18,,,,,,,clinic,83830472,,2020/04/20 15:38:04,,,,e3ce642827ce48b8bf71da11d194d4f6,,1,,,,public,,,,Irbid Hawar,,,Qusay ALhawary,,,pharmacy,pharmacy,
35.8621253209311,31.945975519365,4413152890,node,15,,,,,,,pharmacy,42347319,,2016/09/22 13:06:55,,,,b8f30995b70c44acbee9c95363c285fd,,1,شارع الملكة زين الشرف,,,,,,,,,,Motaz Hamarsheh,,104,,صيدلية امتتال,
35.772593686907,32.4307651852677,5606667155,node,25,خاص,,,,,,hospital,58812823,,2018/05/09 09:12:24,,,,dc231e3976184c89b6178983ebd6968f,,1,قرب من المسجد الكبير,,,,,,,اربد,,,Omar Ghawanmeh,,اربد,hospital,منزل عبدالله مصطفى غوانمه,
,,776692021,way,12,,,,,,,hospital,81536383,,2020/02/27 07:40:45,,,,c79f05d9211647f4b2ee213ec735bc85,,1,,,,,,,,,,,Ferdous bani salem,,,hospital,hospital,
35.8487198917286,32.0174338423092,6412802507,node,12,,,,,,,pharmacy,69325183,,2019/04/17 22:09:32,,,,23b0da545b3849c19bf2f273c2e8efa3,,1,Rifa'Ah Al Ansari Street,,,,,,,,,,peacewaya,,,,Freesia Pharmacy,
35.9311797978641,31.9168133694818,7485554616,node,9,,,,,,,pharmacy,84697020,,2020/05/05 12:53:29,,,,7b894b70eeb24a87915013504580f598,,1,,,,,,,,,,,S-M-R,,,,صيدلبة زوانه,
35.8412153223602,31.9920271203238,6453014829,node,12,,,,,,,pharmacy,69949986,,2019/05/06 20:00:28,,,,0266bddcff7242dea453ec0420c5e8af,,1,Azmi Al-Mufti Street,,,,,,,,,,birdeatscake,,,,Al Sawamer Pharmacy,
35.837553855597,31.9962366797356,6452813106,node,12,,,,,,,pharmacy,69947021,,2019/05/06 18:18:37,,,,316ce061c8b041e5aba22c6921a5840d,,1,شارع وصفي التل,,,,,,,,,,birdeatscake,,,,Rawhi Pharmacy,
35.8674436384947,32.5362103653808,6369003485,node,9,,,,,,,hospital,68644573,,2019/03/28 21:36:19,,,,e90f21d7e03b48589b8ed32870c2dba0,,1,,,,,,,,,,,Anas Rousan,,,,مستشفى ابن النفيس,
35.8639883665494,32.5226581690537,7327173385,node,15,,,,,,,clinic,83239853,"Mo-Th 10:00-23:55; Sa-Su 10:00-23:55",2020/04/08 08:21:38,,,,e5f6ede7d13244c7b5ed078a4e5c4631,,2,,,,,,,,,,,rnjawarneh,,,dentist,Khaledi Dentist,
,,-7434568,way,9,,,,,,,hospital,,,,,,,56b3928bc2754ffda6120d8dcbd29d8f,,,,,,,,,,عمان,,,,,,hospital,,
35.8483714560137,32.0202950887765,6424153497,node,12,,,,,,,pharmacy,69502350,,2019/04/23 19:35:38,,,,a95b4ecfe95b4dccba83d664bae2256c,,1,Awni Bilal Street,,,,,,,,,,peacewaya,,,,Hiam Pharmacy,
35.8854973359211,32.0033625547186,4970460422,node,12,,,,,,,pharmacy,76867550,,2019/11/10 12:59:08,,,,5a8c0e096f404dada16236900bce0af1,,2,,,,,,,,,,,SerV,,,pharmacy,المهند,
35.9595058529058,31.9859349854593,6489030613,node,15,,,,,,,pharmacy,70488943,,2019/05/21 18:18:43,,,,f2bbbe1636814001872c63262f17b196,,1,شارع ثويبة,,,,,,,,,,CoolGuyJake,,64,,Abeer Al-Ward Pharmacy,
35.48065057445,30.3214267298685,5514440971,node,9,,,,,,,pharmacy,78850030,,2019/12/25 15:25:04,,,,b7b9865fc597416aae4fc1e63f851306,,2,,,,,,,,,,,wilco83,,,,Pharmacy H2O,
36.0876609614772,32.0632746384032,4172942048,node,15,,,,,,,doctors,39182595,,2016/05/08 14:49:35,,,,6aef058e1278401593dcaedb6931f887,,1,باب الواد,,,,,,,الزرقاء,,,Big_Borz,,,,عيادة د.عدنان عبد الواحد رئيس,
35.886088930647,32.021838951522,6551590287,node,6,,,,,,,pharmacy,71308681,,2019/06/16 19:42:18,,,,fae001268be149d780ce206f462e6876,,1,,,,,,,,,,,yazeed musallam,,,,,
35.7874059347382,32.604747678888,7426323385,node,18,,,,,,,clinic,83830693,Mo-Fr 12:00-23:30,2020/04/20 15:42:38,,,,998d73406b0a4a9d835d44de4eda2f03,,1,,,,,,,,Hawar,,,Qusay ALhawary,,,pharmacy,Pharmacy,
,,261427339,way,15,MDM,,,,,,hospital,79018367,,2019/12/30 14:49:21,,,,426ee5341ccf417a97346694d1175715,,4,,,,,,,,,,,ManonVi,REACH,,,MDM Primary Health Care Centre 1,
35.727420928496,32.38348597077,7393020587,node,18,,,,,,,clinic,83407541,,2020/04/11 18:03:17,,,,9c17038f2e3640b09dc44911c29c489a,,1,,,,public,,,,ajloun,,,noorbaninaser,,,"clinic;dentist;doctor",baoun primary health center,
